office_region,current_confirmed_cases,confirmed_deaths,total_confirmed_cases
,,,
Atlanta Field Office,,,
Charleston County Detention Center,0,0,2
Columbia Regional Care Center,0,0,1
Folkston Annex (IHSC),0,0,162
Folkston ICE Processing Center (Main),1,0,508
Irwin County Detention Center,0,0,146
Robert A. Deyton Detention Center,0,0,7
Sheriff Al Cannon Detention Center,0,0,1
Stewart Detention Center,6,4,"1,774"
Baltimore Field Office,,,
Dorchester County Jail,4,0,16
Howard County Detention Center,0,0,2
Worcester County Jail,0,0,2
Boston Field Office,,,
Bristol County Detention Center,0,0,9
Cumberland County Jail,0,0,1
Franklin County House of Corrections,0,0,9
Plymouth County Correctional Facility,0,0,80
Strafford County Corrections,0,0,30
Wyatt Detention Center,2,0,68
Buffalo Field Office,,,
Buffalo (Batavia) Service Processing Center,0,0,242
Chicago Field Office,,,
Boone County Jail,13,0,42
Chase County Detention Facility,2,0,180
Christian County Jail,0,0,1
Clay County Justice Center,0,0,57
Dodge County Jail,3,0,28
Kankakee County Detention Center,0,0,24
Kay County Detention Center,0,0,22
Lincoln County Detention Center,0,0,1
McHenry County Adult Correctional Facility,0,0,45
Montgomery County Jail,0,0,1
Morgan County Detention Center,0,0,3
Pulaski County Detention Center,0,0,118
Dallas Field Office,,,
Bluebonnet Detention Facility,0,0,"1,110"
Eden Detention Center,0,0,263
Johnson County Law Enforcement Center,0,0,4
Moore Detention Center,0,0,103
Prairieland Detention Facility,1,0,787
Rolling Plains Detention Center,0,0,68
Denver Field Office,,,
Aurora Contract Detention Facility,0,0,"1,089"
Detroit Field Office,,,
Butler County Jail,0,0,2
Calhoun County Correctional Center,2,0,69
Chippewa County SSM,0,0,1
Geauga County Jail,1,0,15
Monroe County Detention,0,0,4
Morrow County Correctional Facility,1,0,52
Saint Clair County Jail,3,0,20
Seneca County Jail,0,0,20
El Paso Field Office,,,
Best Western Hotel - El Paso,0,0,359
Cibola County Correctional Center,0,0,44
Comfort Suites - El Paso,0,0,359
El Paso Service Processing Center,0,0,"1,421"
Otero County Processing Center,0,0,993
Torrance County Detention Center,0,0,472
Harlingen Field Office,,,
Coastal Bend Detention Facility,0,0,19
El Valle Detention Facility,8,1,"1,118"
Laredo Processing Center,34,0,390
Port Isabel Detention Center,3,0,"2,113"
Rio Grande Detention Center,49,0,709
Webb County Detention Center (CCA),17,0,466
Houston Field Office,,,
Houston Contract Detention Facility,1,0,"1,405"
IAH Polk Adult Detention Facility,2,0,"1,874"
Joe Corley Detention Center,0,1,899
Limestone County Detention Center,0,0,378
Montgomery Processing Center (Houston),6,0,"1,060"
Los Angeles Field Office,,,
Adelanto ICE Processing Center,0,0,273
Desert View Annex,0,0,63
Miami Field Office,,,
Baker County Detention Center,0,0,37
Broward Transitional Center,0,0,648
Glades County Detention Center,0,1,203
Krome North Service Processing Center,1,0,494
Larkin Behavioral Health Center,0,0,2
San Juan Staging Facility,0,0,5
Wakulla County Jail,0,0,43
Newark Field Office,,,
Elizabeth Detention Center,14,0,214
Essex County Jail,0,0,24
New Orleans Field Office,,,
Adams County Correctional Center,2,1,"1,400"
Alexandria Staging Facility,0,0,524
Allen Parish Detention Center,1,0,62
Catahoula Correctional Center,0,0,119
Etowah County Jail,0,0,77
Hancock County Jail,0,0,1
Jackson Parish Correctional,3,0,662
LaSalle ICE Processing Center - Jena,0,0,599
LaSalle ICE Processing Center - Olla,0,0,25
Pine Prairie ICE Processing Center,0,0,254
Richwood Correctional Center,16,0,725
River Correctional Center,0,0,152
South Louisiana Correctional Center,0,0,153
Winn Correctional Center,0,1,799
New York City Field Office,,,
Bergen County Jail,0,0,26
Hudson County Jail,0,0,14
Orange County Jail,0,0,28
Philadelphia Field Office,,,
Berks County Residential Center,0,0,24
Cambria County Prison,0,0,15
Clinton County Correctional Facility,0,0,76
Moshannon Valley Processing Center,9,0,126
Pike County Correctional Facility,1,0,47
South Central Regional Jail,0,0,2
York County Prison,0,0,349
Phoenix Field Office,,,
CCA Florence Correctional Center,4,0,674
Eloy Federal Contract Facility,3,0,"1,669"
Florence Correctional Center,0,0,4
Florence Detention Center,2,0,342
La Palma Correctional Facility,5,0,"3,265"
Salt Lake City Field Office,,,
Cache County Jail,0,0,15
Henderson Detention Center,0,0,37
Nevada Southern Detention Center,0,0,31
Nye County Jail,0,0,82
Washington County Jail,0,0,6
San Antonio Field Office,,,
Hotel Ava by Ramada (House of Tranquility),0,0,419
Karnes County Residential Center,129,0,"3,135"
La Quinta - Pearsall (House of Peace),11,0,252
La Quinta - Wyndham,0,0,259
LaSalle County Regional Detention Center,0,0,11
South Texas Family Residential Center (Dilley),3,0,"2,103"
South Texas ICE Processing Center (Pearsall),36,0,"1,926"
T. Don Hutto Residential Center,0,0,674
San Diego Field Office,,,
Imperial Regional Detention Facility,4,0,719
Otay Mesa Detention Center (San Diego CDF),4,1,"1,282"
San Luis Regional Detention Center,1,0,334
San Francisco Field Office,,,
Golden State Annex Facility,1,0,67
Guam Department of Corrections,0,0,1
Honolulu Federal Detention Center,0,0,4
Mesa Verde ICE Processing Center,1,0,76
Yuba County Jail,0,0,8
Seattle Field Office,,,
Northwest ICE Processing Center (NWIPC),4,0,489
St. Paul Field Office,,,
Douglas County Corrections,0,0,1
Freeborn County Adult Detention Center,0,0,19
Hall County Sheriff,0,0,5
Hardin County Jail,0,0,7
Kandiyoh County Jail,0,0,68
Linn County Jail,0,0,4
Nobles County Jail,0,0,2
Phelps County Jail,0,0,2
Polk County Jail,0,0,18
Pottawattamie County Jail,0,0,6
Sherburne County Jail,0,0,8
Washington D.C. Field Office,,,
Caroline Detention Facility,1,0,171
Immigration Centers of America - Farmville,0,1,340
TOTAL,415,11,"48,068"
