office_region,current_confirmed_cases,confirmed_deaths,total_confirmed_cases
,,,
Atlanta Field Office,,,
Charleston County Detention Center,0,0,2
Columbia Regional Care Center,0,0,1
Folkston Annex (IHSC),0,0,151
Folkston ICE Processing Center (Main),7,0,497
Irwin County Detention Center,0,0,146
Robert A. Deyton Detention Center,0,0,7
Sheriff Al Cannon Detention Center,0,0,1
Stewart Detention Center,8,4,"1,725"
Baltimore Field Office,,,
Dorchester County Jail,4,0,16
Howard County Detention Center,0,0,2
Worcester County Jail,0,0,2
Boston Field Office,,,
Bristol County Detention Center,0,0,9
Cumberland County Jail,0,0,1
Franklin County House of Corrections,0,0,9
Plymouth County Correctional Facility,4,0,81
Strafford County Corrections,0,0,30
Wyatt Detention Center,0,0,65
Buffalo Field Office,,,
Buffalo (Batavia) Service Processing Center,1,0,232
Chicago Field Office,,,
Boone County Jail,9,0,38
Chase County Detention Facility,1,0,178
Christian County Jail,0,0,1
Clay County Justice Center,0,0,57
Dodge County Jail,1,0,24
Kankakee County Detention Center,0,0,24
Kay County Detention Center,0,0,22
Lincoln County Detention Center,0,0,1
McHenry County Adult Correctional Facility,0,0,45
Montgomery County Jail,0,0,1
Morgan County Detention Center,0,0,3
Pulaski County Detention Center,0,0,118
Dallas Field Office,,,
Bluebonnet Detention Facility,6,0,"1,069"
Eden Detention Center,0,0,260
Johnson County Law Enforcement Center,0,0,4
Moore Detention Center,0,0,103
Prairieland Detention Facility,8,0,758
Rolling Plains Detention Center,0,0,68
Denver Field Office,,,
Aurora Contract Detention Facility,7,0,"1,053"
Detroit Field Office,,,
Butler County Jail,0,0,2
Calhoun County Correctional Center,1,0,69
Chippewa County SSM,0,0,1
Geauga County Jail,1,0,15
Monroe County Detention,0,0,4
Morrow County Correctional Facility,0,0,51
Saint Clair County Jail,1,0,18
Seneca County Jail,0,0,20
El Paso Field Office,,,
Best Western Hotel - El Paso,0,0,359
Cibola County Correctional Center,0,0,44
Comfort Suites - El Paso,0,0,359
El Paso Service Processing Center,4,0,"1,380"
Otero County Processing Center,2,0,991
Torrance County Detention Center,0,0,472
Harlingen Field Office,,,
Coastal Bend Detention Facility,0,0,19
El Valle Detention Facility,8,1,"1,089"
Laredo Processing Center,8,0,364
Port Isabel Detention Center,5,0,"2,087"
Rio Grande Detention Center,11,0,667
Webb County Detention Center (CCA),20,0,450
Houston Field Office,,,
Houston Contract Detention Facility,2,0,"1,380"
IAH Polk Adult Detention Facility,2,0,"1,789"
Joe Corley Detention Center,0,1,849
Limestone County Detention Center,0,0,378
Montgomery Processing Center (Houston),97,0,"1,023"
Los Angeles Field Office,,,
Adelanto ICE Processing Center,1,0,273
Desert View Annex,1,0,44
Miami Field Office,,,
Baker County Detention Center,0,0,36
Broward Transitional Center,5,0,619
Glades County Detention Center,0,1,203
Krome North Service Processing Center,0,0,485
Larkin Behavioral Health Center,0,0,2
San Juan Staging Facility,0,0,5
Wakulla County Jail,1,0,44
Newark Field Office,,,
Elizabeth Detention Center,6,0,207
Essex County Jail,0,0,24
New Orleans Field Office,,,
Adams County Correctional Center,12,1,"1,382"
Alexandria Staging Facility,2,0,496
Allen Parish Detention Center,1,0,55
Catahoula Correctional Center,0,0,119
Etowah County Jail,0,0,77
Hancock County Jail,0,0,1
Jackson Parish Correctional,1,0,655
LaSalle ICE Processing Center - Jena,3,0,596
LaSalle ICE Processing Center - Olla,0,0,25
Pine Prairie ICE Processing Center,5,0,251
Richwood Correctional Center,1,0,698
River Correctional Center,0,0,152
South Louisiana Correctional Center,4,0,152
Winn Correctional Center,3,1,776
New York City Field Office,,,
Bergen County Jail,0,0,26
Hudson County Jail,0,0,14
Orange County Jail,0,0,28
Philadelphia Field Office,,,
Berks Family Residential Center,0,0,14
Cambria County Prison,0,0,15
Clinton County Correctional Facility,0,0,74
MoShannon Valley Processing Center,3,0,102
Pike County Correctional Facility,1,0,47
South Central Regional Jail,0,0,2
York County Prison,0,0,349
Phoenix Field Office,,,
CCA Florence Correctional Center,11,0,666
Eloy Federal Contract Facility,11,0,"1,626"
Florence Correctional Center,0,0,4
Florence Detention Center,2,0,327
La Palma Correctional Facility,10,0,"3,250"
Salt Lake City Field Office,,,
Cache County Jail,0,0,15
Henderson Detention Center,0,0,37
Nevada Southern Detention Center,0,0,31
Nye County Jail,0,0,82
Washington County Jail,0,0,6
San Antonio Field Office,,,
Hotel Ava by Ramada (House of Tranquility),0,0,419
Karnes County Residential Center,100,0,"3,091"
La Quinta - Pearsall (House of Peace),11,0,252
La Quinta - Wyndham,0,0,259
LaSalle County Regional Detention Center,0,0,11
South Texas Family Residential Center (Dilley),3,0,"2,075"
South Texas ICE Processing Center (Pearsall),46,0,"1,888"
T. Don Hutto Residential Center,0,0,660
San Diego Field Office,,,
Imperial Regional Detention Facility,4,0,692
Otay Mesa Detention Center (San Diego CDF),13,1,"1,253"
San Luis Regional Detention Center,3,0,323
San Francisco Field Office,,,
Golden State Annex Facility,1,0,65
Guam Department of Corrections,0,0,1
Honolulu Federal Detention Center,0,0,4
Mesa Verde ICE Processing Center,15,0,75
Yuba County Jail,0,0,8
Seattle Field Office,,,
Northwest ICE Processing Center (NWIPC),2,0,463
St. Paul Field Office,,,
Douglas County Corrections,0,0,1
Freeborn County Adult Detention Center,0,0,19
Hall County Sheriff,0,0,5
Hardin County Jail,0,0,7
Kandiyoh County Jail,1,0,66
Linn County Jail,0,0,4
Nobles County Jail,0,0,2
Phelps County Jail,0,0,2
Polk County Jail,0,0,18
Pottawattamie County Jail,0,0,6
Sherburne County Jail,1,0,8
Washington D.C. Field Office,,,
Caroline Detention Facility,5,0,162
Immigration Centers of America - Farmville,0,1,340
TOTAL,507,11,"46,955"
