office_region,current_confirmed_cases,confirmed_deaths,total_confirmed_cases
,,,
Atlanta Field Office,,,
Charleston County Detention Center,0,0,2
Columbia Regional Care Center,0,0,1
Folkston Annex (IHSC),3,0,157
Folkston ICE Processing Center (Main),8,0,506
Irwin County Detention Center,0,0,146
Robert A. Deyton Detention Center,0,0,7
Sheriff Al Cannon Detention Center,0,0,1
Stewart Detention Center,10,4,"1,755"
Baltimore Field Office,,,
Dorchester County Jail,4,0,16
Howard County Detention Center,0,0,2
Worcester County Jail,0,0,2
Boston Field Office,,,
Bristol County Detention Center,0,0,9
Cumberland County Jail,0,0,1
Franklin County House of Corrections,0,0,9
Plymouth County Correctional Facility,0,0,80
Strafford County Corrections,0,0,30
Wyatt Detention Center,0,0,66
Buffalo Field Office,,,
Buffalo (Batavia) Service Processing Center,0,0,241
Chicago Field Office,,,
Boone County Jail,12,0,41
Chase County Detention Facility,2,0,180
Christian County Jail,0,0,1
Clay County Justice Center,0,0,57
Dodge County Jail,2,0,26
Kankakee County Detention Center,0,0,24
Kay County Detention Center,0,0,22
Lincoln County Detention Center,0,0,1
McHenry County Adult Correctional Facility,0,0,45
Montgomery County Jail,0,0,1
Morgan County Detention Center,0,0,3
Pulaski County Detention Center,0,0,118
Dallas Field Office,,,
Bluebonnet Detention Facility,6,0,"1,093"
Eden Detention Center,0,0,263
Johnson County Law Enforcement Center,0,0,4
Moore Detention Center,0,0,103
Prairieland Detention Facility,1,0,784
Rolling Plains Detention Center,0,0,68
Denver Field Office,,,
Aurora Contract Detention Facility,0,0,"1,056"
Detroit Field Office,,,
Butler County Jail,0,0,2
Calhoun County Correctional Center,1,0,69
Chippewa County SSM,0,0,1
Geauga County Jail,1,0,15
Monroe County Detention,0,0,4
Morrow County Correctional Facility,1,0,52
Saint Clair County Jail,1,0,18
Seneca County Jail,0,0,20
El Paso Field Office,,,
Best Western Hotel - El Paso,0,0,359
Cibola County Correctional Center,0,0,44
Comfort Suites - El Paso,0,0,359
El Paso Service Processing Center,9,0,"1,420"
Otero County Processing Center,0,0,993
Torrance County Detention Center,0,0,472
Harlingen Field Office,,,
Coastal Bend Detention Facility,0,0,19
El Valle Detention Facility,8,1,"1,118"
Laredo Processing Center,32,0,388
Port Isabel Detention Center,3,0,"2,107"
Rio Grande Detention Center,27,0,687
Webb County Detention Center (CCA),13,0,462
Houston Field Office,,,
Houston Contract Detention Facility,1,0,"1,401"
IAH Polk Adult Detention Facility,2,0,"1,866"
Joe Corley Detention Center,0,1,896
Limestone County Detention Center,0,0,378
Montgomery Processing Center (Houston),3,0,"1,051"
Los Angeles Field Office,,,
Adelanto ICE Processing Center,0,0,273
Desert View Annex,0,0,63
Miami Field Office,,,
Baker County Detention Center,0,0,37
Broward Transitional Center,4,0,644
Glades County Detention Center,0,1,203
Krome North Service Processing Center,4,0,492
Larkin Behavioral Health Center,0,0,2
San Juan Staging Facility,0,0,5
Wakulla County Jail,0,0,43
Newark Field Office,,,
Elizabeth Detention Center,11,0,211
Essex County Jail,0,0,24
New Orleans Field Office,,,
Adams County Correctional Center,8,1,"1,396"
Alexandria Staging Facility,2,0,522
Allen Parish Detention Center,0,0,61
Catahoula Correctional Center,0,0,119
Etowah County Jail,0,0,77
Hancock County Jail,0,0,1
Jackson Parish Correctional,0,0,659
LaSalle ICE Processing Center - Jena,0,0,599
LaSalle ICE Processing Center - Olla,0,0,25
Pine Prairie ICE Processing Center,0,0,251
Richwood Correctional Center,0,0,708
River Correctional Center,0,0,152
South Louisiana Correctional Center,0,0,153
Winn Correctional Center,1,1,797
New York City Field Office,,,
Bergen County Jail,0,0,26
Hudson County Jail,0,0,14
Orange County Jail,0,0,28
Philadelphia Field Office,,,
Berks County Residential Center,0,0,24
Cambria County Prison,0,0,15
Clinton County Correctional Facility,0,0,76
MoShannon Valley Processing Center,13,0,126
Pike County Correctional Facility,1,0,47
South Central Regional Jail,0,0,2
York County Prison,0,0,349
Phoenix Field Office,,,
CCA Florence Correctional Center,4,0,674
Eloy Federal Contract Facility,3,0,"1,662"
Florence Correctional Center,0,0,4
Florence Detention Center,0,0,340
La Palma Correctional Facility,5,0,"3,265"
Salt Lake City Field Office,,,
Cache County Jail,0,0,15
Henderson Detention Center,0,0,37
Nevada Southern Detention Center,0,0,31
Nye County Jail,0,0,82
Washington County Jail,0,0,6
San Antonio Field Office,,,
Hotel Ava by Ramada (House of Tranquility),0,0,419
Karnes County Residential Center,115,0,"3,121"
La Quinta - Pearsall (House of Peace),11,0,252
La Quinta - Wyndham,0,0,259
LaSalle County Regional Detention Center,0,0,11
South Texas Family Residential Center (Dilley),12,0,"2,099"
South Texas ICE Processing Center (Pearsall),34,0,"1,914"
T. Don Hutto Residential Center,4,0,672
San Diego Field Office,,,
Imperial Regional Detention Facility,2,0,701
Otay Mesa Detention Center (San Diego CDF),5,1,"1,277"
San Luis Regional Detention Center,0,0,332
San Francisco Field Office,,,
Golden State Annex Facility,0,0,66
Guam Department of Corrections,0,0,1
Honolulu Federal Detention Center,0,0,4
Mesa Verde ICE Processing Center,1,0,76
Yuba County Jail,0,0,8
Seattle Field Office,,,
Northwest ICE Processing Center (NWIPC),0,0,479
St. Paul Field Office,,,
Douglas County Corrections,0,0,1
Freeborn County Adult Detention Center,0,0,19
Hall County Sheriff,0,0,5
Hardin County Jail,0,0,7
Kandiyoh County Jail,2,0,68
Linn County Jail,0,0,4
Nobles County Jail,0,0,2
Phelps County Jail,0,0,2
Polk County Jail,0,0,18
Pottawattamie County Jail,0,0,6
Sherburne County Jail,1,0,8
Washington D.C. Field Office,,,
Caroline Detention Facility,1,0,168
Immigration Centers of America - Farmville,0,406,340
TOTAL,394,11,"47,801"
