office_region,current_confirmed_cases,confirmed_deaths,total_confirmed_cases
,,,
Atlanta Field Office,,,
Charleston County Detention Center,0,0,2
Columbia Regional Care Center,0,0,1
Folkston Annex (IHSC),0,0,174
Folkston ICE Processing Center (Main),2,0,551
Irwin County Detention Center,0,0,146
Robert A. Deyton Detention Center,0,0,7
Sheriff Al Cannon Detention Center,0,0,1
Stewart Detention Center,19,4,"1,920"
Baltimore Field Office,,,
Dorchester County Jail,0,0,16
Howard County Detention Center,0,0,2
Worcester County Jail,0,0,2
Boston Field Office,,,
Bristol County Detention Center,0,0,9
Cumberland County Jail,0,0,1
Franklin County House of Corrections,0,0,9
Plymouth County Correctional Facility,1,0,81
Strafford County Corrections,0,0,33
Wyatt Detention Center,1,0,124
Buffalo Field Office,,,
Buffalo (Batavia) Service Processing Center,1,0,278
Chicago Field Office,,,
Boone County Jail,0,0,45
Chase County Detention Facility,0,0,181
Christian County Jail,0,0,1
Clay County Justice Center,0,0,57
Dodge County Jail,0,0,37
Kankakee County Detention Center,0,0,24
Kay County Detention Center,0,0,23
Lincoln County Detention Center,0,0,1
McHenry County Adult Correctional Facility,0,0,45
Montgomery County Jail,0,0,1
Morgan County Detention Center,0,0,3
Pulaski County Detention Center,0,0,118
Dallas Field Office,,,
Bluebonnet Detention Facility,1,0,"1,172"
Eden Detention Center,0,0,269
Johnson County Law Enforcement Center,0,0,4
Moore Detention Center,0,0,103
Prairieland Detention Facility,5,0,880
Rolling Plains Detention Center,0,0,68
Denver Field Office,,,
Aurora Contract Detention Facility,13,0,"1,211"
Detroit Field Office,,,
Butler County Jail,0,0,2
Calhoun County Correctional Center,0,0,71
Chippewa County SSM,0,0,1
Geauga County Jail,0,0,15
Monroe County Detention,0,0,4
Morrow County Correctional Facility,0,0,52
Saint Clair County Jail,0,0,20
Seneca County Jail,0,0,20
El Paso Field Office,,,
Best Western Hotel - El Paso,0,0,359
Cibola County Correctional Center,0,0,44
Comfort Suites - El Paso,0,0,359
El Paso Service Processing Center,4,0,"1,477"
Otero County Processing Center,0,0,995
Torrance County Detention Center,0,0,472
Harlingen Field Office,,,
Coastal Bend Detention Facility,0,0,19
El Valle Detention Facility,3,1,"1,167"
Laredo Processing Center,2,0,411
Port Isabel Detention Center,3,0,"2,215"
Rio Grande Detention Center,13,0,771
Webb County Detention Center (CCA),0,0,499
Houston Field Office,,,
Houston Contract Detention Facility,1,0,"1,570"
IAH Polk Adult Detention Facility,0,0,"2,002"
Joe Corley Detention Center,0,1,"1,007"
Limestone County Detention Center,0,0,378
Montgomery Processing Center (Houston),8,0,"1,144"
Los Angeles Field Office,,,
Adelanto ICE Processing Center,0,0,275
Desert View Annex,0,0,74
Miami Field Office,,,
Baker County Detention Center,1,0,38
Broward Transitional Center,0,0,685
Glades County Detention Center,0,1,203
Krome North Service Processing Center,5,0,530
Larkin Behavioral Health Center,0,0,2
San Juan Staging Facility,0,0,5
Wakulla County Jail,0,0,44
Newark Field Office,,,
Elizabeth Detention Center,1,0,258
Essex County Jail,0,0,24
New Orleans Field Office,,,
Adams County Correctional Center,6,1,"1,461"
Alexandria Staging Facility,0,0,544
Allen Parish Detention Center,0,0,66
Catahoula Correctional Center,0,0,119
Central Louisiana ICE Processing Center - Jena,0,0,620
Central Louisiana ICE Processing Center - Olla,0,0,25
Etowah County Jail,0,0,77
Hancock County Jail,0,0,1
Jackson Parish Correctional,0,0,662
Pine Prairie ICE Processing Center,0,0,260
Richwood Correctional Center,1,0,761
River Correctional Center,0,0,152
South Louisiana Correctional Center,0,0,166
Winn Correctional Center,1,1,854
New York City Field Office,,,
Bergen County Jail,0,0,26
Hudson County Jail,0,0,14
Orange County Jail,0,0,30
Philadelphia Field Office,,,
Berks County Residential Center,0,0,26
Cambria County Prison,0,0,15
Clinton County Correctional Facility,0,0,79
Moshannon Valley Processing Center,0,0,322
Pike County Correctional Facility,0,0,67
South Central Regional Jail,0,0,2
York County Prison,0,0,349
Phoenix Field Office,,,
CCA Florence Correctional Center,0,0,692
Eloy Federal Contract Facility,4,0,"1,879"
Florence Correctional Center,0,0,4
Florence Detention Center,1,0,422
La Palma Correctional Facility,0,0,"3,265"
Salt Lake City Field Office,,,
Cache County Jail,0,0,15
Henderson Detention Center,0,0,37
Nevada Southern Detention Center,0,0,31
Nye County Jail,0,0,82
Washington County Jail,0,0,6
San Antonio Field Office,,,
Hotel Ava by Ramada (House of Tranquility),0,0,419
Karnes County Immigration Processing Center,2,0,"3,300"
La Quinta - Pearsall (House of Peace),0,0,252
La Quinta - Wyndham,0,0,259
LaSalle County Regional Detention Center,0,0,11
South Texas Family Residential Center (Dilley),1,0,"2,135"
South Texas ICE Processing Center (Pearsall),2,0,"2,062"
T. Don Hutto Residential Center,1,0,736
San Diego Field Office,,,
Imperial Regional Detention Facility,3,0,901
Otay Mesa Detention Center (San Diego CDF),3,1,"1,437"
San Luis Regional Detention Center,1,0,377
San Francisco Field Office,,,
Golden State Annex Facility,0,0,84
Guam Department of Corrections,0,0,1
Honolulu Federal Detention Center,0,0,4
Mesa Verde ICE Processing Center,0,0,76
Yuba County Jail,0,0,9
Seattle Field Office,,,
Northwest ICE Processing Center (NWIPC),5,0,519
St. Paul Field Office,,,
Douglas County Corrections,0,0,1
Freeborn County Adult Detention Center,0,0,26
Hall County Sheriff,0,0,5
Hardin County Jail,0,0,7
Kandiyoh County Jail,0,0,86
Linn County Jail,0,0,4
Nobles County Jail,0,0,2
Phelps County Jail,0,0,2
Polk County Jail,0,0,20
Pottawattamie County Jail,0,0,9
Sherburne County Jail,0,0,8
Washington D.C. Field Office,,,
Caroline Detention Facility,0,0,184
Immigration Centers of America - Farmville,0,1,340
TOTAL,112,11,"51,219"
